customer_id,full_name,recency_days,frequency,monetary,segment
336398,Priya Kapoor,401,2,57202.56,Lost
738747,Kavita Patel,255,2,57181.83,Lost
956153,Nidhi Chatterjee,73,2,57176.03,Active
419759,Riya Banerjee,208,2,57174.99,Lost
181651,Pooja Iyer,173,3,57143.72,At Risk
239298,Arjun Khan,197,2,56983.95,Lost
254955,Preeti Malhotra,171,2,56960.99,At Risk
288324,Aarti Sharma,258,1,56908.67,Lost
489424,Suresh Verma,200,2,56871.41,Lost
3416,Preeti Patel,249,1,56812.84,Lost
168582,Priya Khan,315,3,56790.73,Lost
387143,Rahul Agarwal,58,3,56735.47,Loyal
894562,Vivek Khan,132,2,56729.11,At Risk
412318,Amit Chatterjee,314,2,56703.21,Lost
223490,Sneha Iyer,156,2,56685.64,At Risk
591969,Kavita Das,71,2,56660.40,Active
291307,Isha Khan,263,2,56571.01,Lost
969692,Aarti Khan,296,1,56558.80,Lost
271572,Kunal Mehta,67,2,56512.34,Active
6685,Shreya Patel,76,1,56512.16,Active
464193,Rashmi Verma,55,1,56294.78,Active
587648,Isha Verma,80,2,56284.94,Active
199046,Rashmi Iyer,94,2,56272.04,At Risk
537391,Sanjay Kapoor,216,2,56256.33,Lost
374636,Reddy,285,1,56214.75,Lost
104229,Neha Iyer,154,3,56097.63,At Risk
826023,Nitin Sharma,54,1,56063.99,Active
348064,Rashmi Patel,259,3,56062.32,Lost
220906,Meera Malhotra,183,2,56056.58,Lost
120098,Ajay Reddy,172,2,55950.97,At Risk
627689,Ajay Gupta,67,2,55896.29,Active
802531,Ajay Sharma,98,2,55883.74,At Risk
474715,Ajay Verma,126,1,55871.27,At Risk
277678,Nidhi Reddy,210,2,55823.46,Lost
359550,Preeti Kapoor,216,2,55823.27,Lost
822163,Priya Sharma,134,1,55795.75,At Risk
966081,Kavita Gupta,350,2,55789.00,Lost
780919,Aarti Iyer,320,2,55766.22,Lost
519269,Priya Reddy,323,1,55713.21,Lost
385313,Anjali Chatterjee,101,2,55692.90,At Risk
952111,Ajay Agarwal,56,2,55692.75,Active
670154,Amit Kapoor,123,2,55691.15,At Risk
168165,Pooja Mehta,65,2,55637.08,Active
355170,Neha Kapoor,234,1,55615.65,Lost
560022,Rashmi Patel,168,2,55568.27,At Risk
194466,Anjali Chatterjee,234,1,55528.86,Lost
254404,Arjun Iyer,137,2,55506.25,At Risk
684250,Isha Das,114,1,55479.26,At Risk
642854,Preeti Reddy,269,2,55441.46,Lost
294034,Suresh Gupta,153,2,55432.69,At Risk
785210,Kunal Malhotra,332,1,55414.24,Lost
996080,Rashmi Banerjee,283,1,55342.40,Lost
922917,Isha Kapoor,55,2,55212.12,Active
609640,Isha Malhotra,250,1,55125.14,Lost
995851,Prakash Malhotra,80,2,55114.32,Active
297529,Vikas Verma,327,2,55110.98,Lost
161929,Suresh Kapoor,341,2,55050.95,Lost
909530,Ajay Chatterjee,188,1,54949.39,Lost
885876,Ankit Singh,266,1,54933.31,Lost
825673,Preeti Kapoor,274,2,54905.44,Lost
476824,Ankit Das,61,2,54880.25,Active
668823,Kavita Singh,341,2,54874.11,Lost
823994,Riya Verma,63,3,54867.30,Active
733568,Shreya Malhotra,92,2,54866.31,At Risk
193081,Shreya Malhotra,144,1,54833.05,At Risk
207318,Priya Kapoor,186,2,54832.49,Lost
557237,Shreya Mehta,107,3,54815.77,At Risk
7230,Shreya Verma,171,2,54813.00,At Risk
846152,Shreya Kapoor,117,2,54800.36,At Risk
615722,Ankit Verma,396,1,54771.49,Lost
601938,Arjun Verma,121,2,54767.69,At Risk
331704,Isha Kapoor,309,2,54741.47,Lost
659414,Kunal Banerjee,293,2,54735.37,Lost
451627,Neha Malhotra,209,2,54692.96,Lost
441869,Anjali Agarwal,80,2,54681.29,Active
768145,Priya Chatterjee,250,2,54631.59,Lost
535634,Anjali Banerjee,206,2,54615.22,Lost
582666,Shreya Khan,117,2,54612.42,At Risk
842425,Rashmi Singh,167,1,54598.10,At Risk
979589,Ajay Gupta,281,2,54542.43,Lost
3463,Swati Mehta,90,1,54502.29,Active
382492,Sanjay Iyer,62,2,54440.70,Active
886606,Rashmi Kapoor,73,2,54435.96,Active
537777,Priya Iyer,185,1,54432.69,Lost
891171,Preeti Kapoor,361,1,54369.63,Lost
768865,Manish Sharma,103,2,54299.08,At Risk
504545,Pooja Mehta,205,2,54251.67,Lost
62012,Neha Banerjee,99,1,54243.16,At Risk
95580,Priya Singh,113,2,54235.34,At Risk
317276,Manish Chatterjee,132,2,54226.22,At Risk
808682,Vivek Mehta,206,2,54221.35,Lost
397614,Suresh Das,166,1,54186.43,At Risk
662326,Sneha Das,112,2,54073.82,At Risk
330218,Rashmi Das,170,3,54051.07,At Risk
799528,Sneha Malhotra,58,2,54032.00,Active
54702,Vivek Verma,158,1,54021.09,At Risk
9613,Nidhi Agarwal,200,1,54017.38,Lost
80712,Preeti Reddy,137,2,54007.55,At Risk
227072,Pooja Verma,91,3,53967.35,At Risk
494481,Nidhi Iyer,389,1,53941.88,Lost
851462,Pooja Banerjee,124,2,53923.43,At Risk
18639,Swati Khan,346,1,53911.81,Lost
587405,Aarti Gupta,101,2,53910.05,At Risk
709693,Meera Singh,176,3,53908.81,At Risk
87214,Vivek Patel,71,2,53879.94,Active
13921,Singh,145,1,53879.31,At Risk
966272,Pooja Iyer,152,2,53813.51,At Risk
347316,Ajay Singh,88,2,53807.20,Active
463125,Nidhi Verma,407,1,53789.38,Lost
4649,Vivek Chatterjee,108,1,53718.02,At Risk
708866,Preeti Malhotra,324,1,53693.09,Lost
622557,Preeti Chatterjee,142,1,53676.55,At Risk
779169,Meera Verma,164,2,53670.12,At Risk
323204,Kavita Agarwal,137,2,53661.39,At Risk
737965,Riya Kapoor,59,2,53644.81,Active
639625,Shreya Sharma,88,2,53639.77,Active
755161,Pooja Chatterjee,169,2,53630.52,At Risk
63200,Neha Malhotra,404,1,53617.60,Lost
52380,Meera Das,367,2,53597.04,Lost
37597,Pooja Verma,383,1,53585.59,Lost
951542,Shreya Chatterjee,171,2,53581.81,At Risk
431110,Isha Banerjee,111,3,53559.52,At Risk
895369,Isha Agarwal,212,2,53528.85,Lost
633258,Meera Malhotra,231,1,53522.17,Lost
273775,Amit Singh,329,2,53514.25,Lost
964887,Anjali Khan,89,2,53493.34,Active
770639,Anjali Sharma,400,2,53455.96,Lost
729244,Nitin Reddy,319,2,53427.57,Lost
957266,Arjun Verma,341,1,53401.93,Lost
171622,Pooja Sharma,214,2,53400.28,Lost
439046,Isha Gupta,54,2,53338.66,Active
539616,Sneha Chatterjee,289,1,53270.45,Lost
373245,Preeti Verma,145,1,53247.58,At Risk
612280,Amit Mehta,120,3,53246.63,At Risk
292188,Sanjay Khan,250,1,53235.52,Lost
761177,Nidhi Khan,111,3,53225.17,At Risk
686735,Ajay Chatterjee,98,2,53184.45,At Risk
204532,Sneha Verma,162,2,53181.18,At Risk
269590,Rashmi Kapoor,120,1,53179.26,At Risk
746037,Priya Banerjee,142,1,53168.36,At Risk
978140,Nidhi Reddy,228,2,53144.85,Lost
300106,Amit Verma,324,1,53130.94,Lost
58139,Aarti Mehta,340,1,53104.47,Lost
836643,Aarti Mehta,148,1,53095.97,At Risk
4578,Priya Kapoor,325,2,53060.74,Lost
808331,Anjali Kapoor,382,2,53049.89,Lost
210265,Neha Khan,89,2,52995.39,Active
331185,Priya Kapoor,374,1,52948.91,Lost
659698,Anjali Patel,137,1,52938.50,At Risk
362329,Swati Khan,328,1,52913.07,Lost
113732,Nidhi Agarwal,254,1,52909.05,Lost
931389,Swati Sharma,262,1,52900.13,Lost
934933,Kunal Kapoor,98,1,52878.48,At Risk
643068,Neha Das,77,1,52864.79,Active
249147,Sanjay Patel,357,1,52856.54,Lost
707868,Nidhi Chatterjee,243,1,52848.26,Lost
748498,Isha Agarwal,264,1,52847.54,Lost
397861,Rashmi Iyer,160,1,52829.70,At Risk
49165,Pooja Chatterjee,77,3,52801.54,Active
713454,Meera Banerjee,114,2,52784.58,At Risk
401579,Kavita Mehta,80,1,52784.38,Active
785873,Ajay Mehta,259,2,52747.65,Lost
526250,Isha Kapoor,214,1,52744.45,Lost
640258,Meera Sharma,104,1,52708.48,At Risk
853186,Aarti Iyer,126,2,52700.69,At Risk
581717,Pooja Malhotra,136,2,52665.48,At Risk
171728,Nidhi Chatterjee,133,2,52648.21,At Risk
673549,Vivek Chatterjee,192,2,52647.37,Lost
320525,Shreya Iyer,157,2,52642.71,At Risk
851753,Rahul Reddy,72,2,52570.02,Active
771296,Pooja Iyer,172,2,52565.02,At Risk
214890,Ankit Reddy,136,3,52558.58,At Risk
678884,Ajay Agarwal,159,1,52540.84,At Risk
694984,Aarti Singh,201,2,52531.60,Lost
446498,Rashmi Mehta,225,1,52471.95,Lost
326991,Nitin Banerjee,224,2,52466.90,Lost
88385,Nidhi Mehta,261,2,52464.57,Lost
744603,Rahul Kapoor,312,1,52413.20,Lost
141338,Neha Chatterjee,292,1,52392.07,Lost
377587,Vivek Das,87,2,52388.92,Active
719812,Riya Reddy,378,1,52355.96,Lost
606523,Riya Iyer,100,2,52340.32,At Risk
686903,Vivek Malhotra,159,3,52331.00,At Risk
620586,Arjun Singh,227,2,52329.29,Lost
593462,Preeti Agarwal,206,2,52302.99,Lost
588436,Priya Mehta,324,1,52300.04,Lost
297931,Meera Iyer,351,2,52295.96,Lost
133315,Riya Reddy,115,2,52266.16,At Risk
926474,Ankit Patel,151,1,52255.44,At Risk
768299,Isha Kapoor,300,2,52221.77,Lost
220089,Deepak Agarwal,145,2,52190.37,At Risk
901450,Neha Reddy,78,3,52168.57,Active
321603,Amit Banerjee,89,2,52167.44,Active
343045,Ajay Sharma,154,2,52161.08,At Risk
193454,Preeti Kapoor,229,2,52160.53,Lost
705952,Vivek Das,311,1,52143.80,Lost
421030,Pooja Banerjee,237,2,52126.71,Lost
701693,Sneha Patel,66,2,52108.91,Active
421593,Sneha Khan,240,2,52103.12,Lost
890894,Suresh Reddy,101,2,52063.44,At Risk
796544,Rashmi Kapoor,329,1,52059.48,Lost
676007,Anjali Sharma,142,1,52057.05,At Risk
809244,Rashmi Reddy,311,2,52054.57,Lost
554608,Vikas Sharma,264,2,52052.01,Lost
806058,Rashmi Iyer,133,3,52043.60,At Risk
582095,Nitin Gupta,302,1,52036.72,Lost
529948,Nitin Iyer,355,1,52031.63,Lost
398893,Meera Malhotra,137,1,52011.89,At Risk
182944,Suresh Iyer,195,2,51996.90,Lost
234877,Ajay Khan,339,1,51995.10,Lost
682592,Anjali Das,162,2,51978.29,At Risk
343967,Riya Kapoor,80,2,51972.20,Active
305463,Neha Mehta,168,1,51963.17,At Risk
716976,Kunal Sharma,184,2,51933.93,Lost
105818,Riya Iyer,243,2,51933.41,Lost
979691,Deepak Iyer,67,2,51915.76,Active
69723,Priya Das,240,2,51906.46,Lost
66125,Preeti Agarwal,74,2,51890.68,Active
673050,Suresh Chatterjee,256,1,51840.42,Lost
110851,Priya,126,1,51834.89,At Risk
431970,Pooja Das,78,2,51804.18,Active
765696,Arjun Patel,228,2,51793.42,Lost
395456,Priya Verma,306,2,51775.43,Lost
55074,Amit Agarwal,166,2,51772.41,At Risk
490562,Riya Sharma,81,1,51729.65,Active
506075,Sanjay Singh,319,2,51728.02,Lost
472143,Preeti Khan,219,1,51715.67,Lost
190255,Sanjay Malhotra,56,2,51714.75,Active
446565,Nidhi Khan,306,1,51705.46,Lost
735700,Anjali Chatterjee,87,2,51705.24,Active
434750,Meera Iyer,192,2,51699.19,Lost
803643,Rahul Das,136,2,51688.89,At Risk
617076,Sneha Verma,59,3,51672.53,Loyal
632491,Deepak Patel,270,2,51670.67,Lost
759265,Shreya Mehta,118,2,51669.07,At Risk
905902,Meera Chatterjee,228,3,51664.47,Lost
790451,Priya Sharma,216,2,51659.77,Lost
339619,Pooja Banerjee,323,1,51620.18,Lost
527393,Deepak Patel,342,2,51609.87,Lost
214363,Preeti Iyer,74,2,51602.78,Active
447687,Rahul Banerjee,132,2,51544.13,At Risk
765319,Isha Mehta,300,1,51543.84,Lost
104681,Swati Patel,172,1,51540.77,At Risk
157806,Nidhi Sharma,306,1,51535.19,Lost
723186,Kavita Kapoor,121,2,51535.03,At Risk
474240,Swati Chatterjee,307,2,51530.54,Lost
486146,Swati Gupta,219,1,51522.33,Lost
71647,Amit Chatterjee,179,2,51510.21,At Risk
986225,Kunal Khan,139,2,51493.00,At Risk
282818,Vivek Singh,322,1,51486.34,Lost
696338,Prakash Gupta,75,1,51473.05,Active
175483,Riya Patel,385,2,51449.56,Lost
866044,Vivek Patel,328,1,51405.00,Lost
894610,Aarti Chatterjee,334,1,51393.39,Lost
776782,Aarti Iyer,124,2,51381.95,At Risk
172890,Deepak,103,1,51373.55,At Risk
320231,Anjali Gupta,74,2,51361.42,Active
160334,Sneha Khan,159,2,51353.86,At Risk
578696,Rohit Mehta,298,1,51351.39,Lost
93736,Meera Verma,207,2,51350.86,Lost
875842,Kunal Gupta,61,2,51294.87,Active
407109,Swati Kapoor,187,2,51292.40,Lost
522526,Riya Mehta,119,1,51291.52,At Risk
712988,Meera Chatterjee,82,2,51273.83,Active
163016,Amit Das,197,2,51268.88,Lost
7477,Priya Patel,81,1,51212.04,Active
996709,Amit Singh,149,2,51162.07,At Risk
998110,Sanjay Iyer,333,1,51131.35,Lost
361888,Aarti Singh,276,1,51122.98,Lost
190242,Meera Chatterjee,258,1,51110.43,Lost
507715,Kavita Das,184,2,51099.55,Lost
599921,Preeti Reddy,65,2,51086.52,Active
68181,Preeti Das,418,1,51085.96,Lost
43802,Amit Das,95,3,51077.11,At Risk
900111,Priya Sharma,133,1,51075.32,At Risk
318510,Vivek Khan,84,2,51067.65,Active
473704,Priya Reddy,194,1,51059.20,Lost
439009,Neha Iyer,169,2,51054.05,At Risk
958139,Shreya Patel,299,2,51037.92,Lost
573539,Aarti Patel,236,2,51032.89,Lost
586307,Kavita Malhotra,124,2,51029.17,At Risk
397795,Arjun Malhotra,69,2,51021.75,Active
932407,Preeti Malhotra,308,1,51013.20,Lost
950894,Neha Verma,196,2,51007.33,Lost
369668,Isha Kapoor,217,3,51005.14,Lost
500996,Kunal Patel,296,1,51002.54,Lost
598636,Arjun Mehta,74,1,51002.21,Active
755024,Suresh Malhotra,83,1,50995.21,Active
856820,Rahul Reddy,203,2,50990.15,Lost
220270,Shreya Sharma,279,1,50970.83,Lost
377295,Isha Iyer,319,2,50965.60,Lost
288774,Suresh Das,346,1,50958.54,Lost
568751,Riya Agarwal,289,3,50949.93,Lost
280692,Riya Patel,147,2,50906.40,At Risk
991262,Vikas Khan,60,2,50904.82,Active
685085,Isha Verma,145,1,50892.38,At Risk
883793,Pooja Gupta,99,1,50871.72,At Risk
944603,Nidhi Banerjee,301,1,50869.52,Lost
590859,Kavita Malhotra,145,2,50865.65,At Risk
609101,Neha Mehta,294,1,50854.10,Lost
953535,Priya Chatterjee,198,1,50847.27,Lost
434459,Priya Das,334,2,50842.82,Lost
210052,Arjun Gupta,147,2,50814.64,At Risk
760759,Kavita Patel,149,2,50809.83,At Risk
617483,Sneha Sharma,157,3,50799.98,At Risk
156969,Pooja Sharma,303,1,50796.86,Lost
571200,Meera Sharma,337,1,50789.82,Lost
765767,Meera Verma,166,2,50773.99,At Risk
101872,Anjali Gupta,275,1,50761.80,Lost
549006,Manish Mehta,116,1,50760.17,At Risk
875062,Meera Reddy,158,1,50737.92,At Risk
926741,Prakash Sharma,206,3,50698.44,Lost
164274,Shreya Patel,192,2,50697.46,Lost
574387,Sneha Banerjee,325,1,50678.79,Lost
771066,Aarti Mehta,403,1,50676.15,Lost
653244,Vikas Iyer,153,1,50675.28,At Risk
192186,Prakash Singh,262,2,50653.11,Lost
91749,Anjali Malhotra,212,2,50637.56,Lost
672161,Meera Kapoor,151,3,50609.09,At Risk
437192,Sneha Das,188,1,50601.24,Lost
970189,Anjali Reddy,133,2,50583.29,At Risk
391115,Rashmi Gupta,143,1,50575.11,At Risk
716510,Nidhi Iyer,390,1,50571.86,Lost
139148,Isha Agarwal,119,1,50571.34,At Risk
686533,Meera Patel,207,2,50564.99,Lost
598330,Ankit Sharma,369,2,50553.65,Lost
118730,Rohit Patel,95,2,50534.70,At Risk
2370,Amit Gupta,150,2,50526.46,At Risk
699074,Kunal Iyer,200,2,50500.70,Lost
485593,Ajay Iyer,184,2,50462.61,Lost
